season,gender,match_date,home_team,away_team,home_score,away_score,outcome,match_url,set_1_home,set_1_away,set_2_home,set_2_away,set_3_home,set_3_away,set_4_home,set_4_away,set_5_home,set_5_away
2021,women,2021-06-25,Brazil W,USA W,1,3,0,https://www.flashscore.com/match/vZyKDIRd/#/match-summary,28,26,23,25,23,25,21,25,,
2021,women,2021-06-25,Japan W,Turkey W,0,3,0,https://www.flashscore.com/match/IPzOCxs3/#/match-summary,19,25,16,25,17,25,,,,
2021,women,2021-06-24,USA W,Turkey W,3,0,1,https://www.flashscore.com/match/08I4zUmr/#/match-summary,25,21,25,23,25,20,,,,
2021,women,2021-06-24,Brazil W,Japan W,3,1,1,https://www.flashscore.com/match/CrM8Zm3l/#/match-summary,25,15,25,23,29,31,25,16,,
2021,women,2021-06-20,Brazil W,Turkey W,3,1,1,https://www.flashscore.com/match/2oGBiqbU/#/match-summary,25,18,25,16,25,27,25,15,,
2021,women,2021-06-20,Belgium W,Canada W,3,0,1,https://www.flashscore.com/match/hAeLBnqn/#/match-summary,26,24,25,17,25,17,,,,
2021,women,2021-06-20,South Korea W,Netherlands W,2,3,0,https://www.flashscore.com/match/EPqU9QDb/#/match-summary,20,25,25,23,18,25,25,22,12,15
2021,women,2021-06-20,Russia W,Poland W,2,3,0,https://www.flashscore.com/match/zZpQA6bh/#/match-summary,17,25,25,20,16,25,25,22,7,15
2021,women,2021-06-20,Japan W,Serbia W,3,0,1,https://www.flashscore.com/match/80bX8pT4/#/match-summary,25,12,25,22,25,15,,,,
2021,women,2021-06-20,Thailand W,Italy W,1,3,0,https://www.flashscore.com/match/nicy84rB/#/match-summary,35,33,21,25,25,27,20,25,,
2021,women,2021-06-20,China W,USA W,3,0,1,https://www.flashscore.com/match/UFnt7OcH/#/match-summary,25,10,25,20,25,17,,,,
2021,women,2021-06-20,Dominican Republic W,Germany W,3,2,1,https://www.flashscore.com/match/v7iHCSTu/#/match-summary,25,21,25,22,14,25,25,27,15,9
2021,women,2021-06-19,Belgium W,Italy W,3,2,1,https://www.flashscore.com/match/v7VocmUh/#/match-summary,25,17,20,25,22,25,25,17,15,10
2021,women,2021-06-19,Brazil W,Netherlands W,3,0,1,https://www.flashscore.com/match/WtSwa9at/#/match-summary,25,19,25,19,25,20,,,,
2021,women,2021-06-19,South Korea W,Turkey W,1,3,0,https://www.flashscore.com/match/Y5OfeRb5/#/match-summary,23,25,25,20,17,25,18,25,,
2021,women,2021-06-19,China W,Poland W,3,0,1,https://www.flashscore.com/match/OfH7hPrO/#/match-summary,26,24,25,22,25,16,,,,
2021,women,2021-06-19,Thailand W,Canada W,3,0,1,https://www.flashscore.com/match/6JM2g5TH/#/match-summary,25,16,25,17,25,17,,,,
2021,women,2021-06-19,Japan W,Germany W,3,1,1,https://www.flashscore.com/match/SSNbfoEB/#/match-summary,25,23,19,25,26,24,25,15,,
2021,women,2021-06-19,USA W,Russia W,3,1,1,https://www.flashscore.com/match/MVKjd7qa/#/match-summary,25,21,25,27,25,23,25,15,,
2021,women,2021-06-19,Dominican Republic W,Serbia W,3,0,1,https://www.flashscore.com/match/0GWsbTEn/#/match-summary,25,14,25,20,25,18,,,,
2021,women,2021-06-18,Turkey W,Netherlands W,3,0,1,https://www.flashscore.com/match/SnpCpApm/#/match-summary,27,25,25,20,25,20,,,,
2021,women,2021-06-18,Canada W,Italy W,0,3,0,https://www.flashscore.com/match/00rKrlFa/#/match-summary,18,25,20,25,20,25,,,,
2021,women,2021-06-18,Poland W,USA W,0,3,0,https://www.flashscore.com/match/tCaHs8U5/#/match-summary,27,29,27,29,14,25,,,,
2021,women,2021-06-18,China W,Russia W,3,0,1,https://www.flashscore.com/match/UXuC3kiP/#/match-summary,25,18,25,23,25,16,,,,
2021,women,2021-06-18,South Korea W,Brazil W,0,3,0,https://www.flashscore.com/match/K2bLtSqC/#/match-summary,18,25,23,25,18,25,,,,
2021,women,2021-06-18,Thailand W,Belgium W,1,3,0,https://www.flashscore.com/match/SS1Tv6EO/#/match-summary,23,25,24,26,25,23,15,25,,
2021,women,2021-06-18,Japan W,Dominican Republic W,3,2,1,https://www.flashscore.com/match/EPcPunaI/#/match-summary,18,25,24,26,25,22,25,15,15,11
2021,women,2021-06-18,Germany W,Serbia W,3,0,1,https://www.flashscore.com/match/M9qGqUag/#/match-summary,25,23,25,16,25,21,,,,
