season,gender,match_date,home_team,away_team,home_score,away_score,outcome,match_url,set_1_home,set_1_away,set_2_home,set_2_away,set_3_home,set_3_away,set_4_home,set_4_away,set_5_home,set_5_away
2019,women,2019-06-13,Brazil W,Serbia W,3,0,1,https://www.flashscore.com/match/hf1XTyFC/#/match-summary,25,23,25,21,25,15,,,,
2019,women,2019-06-12,Germany W,Belgium W,3,1,1,https://www.flashscore.com/match/AVBSUHa6/#/match-summary,25,21,25,23,24,26,25,16,,
2019,women,2019-06-12,Italy W,South Korea W,3,1,1,https://www.flashscore.com/match/be8OVcp0/#/match-summary,25,17,25,21,23,25,25,13,,
2019,women,2019-06-12,Dominican Republic W,Netherlands W,0,3,0,https://www.flashscore.com/match/4Y8KWwVg/#/match-summary,18,25,21,25,19,25,,,,
2019,women,2019-06-12,Bulgaria W,Russia W,0,3,0,https://www.flashscore.com/match/QsAGXJFm/#/match-summary,20,25,23,25,16,25,,,,
2019,women,2019-06-12,China W,Turkey W,3,0,1,https://www.flashscore.com/match/86FBYa0s/#/match-summary,26,24,25,19,25,21,,,,
2019,women,2019-06-12,Japan W,Serbia W,3,1,1,https://www.flashscore.com/match/WthrjSVE/#/match-summary,19,25,25,14,25,23,25,14,,
2019,women,2019-06-12,Poland W,USA W,1,3,0,https://www.flashscore.com/match/xKhvi8G8/#/match-summary,25,21,23,25,15,25,11,25,,
2019,women,2019-06-12,Brazil W,Thailand W,3,0,1,https://www.flashscore.com/match/OGlzhl12/#/match-summary,25,19,25,17,25,21,,,,
2019,women,2019-06-11,Germany W,Dominican Republic W,3,1,1,https://www.flashscore.com/match/KrOgqdc2/#/match-summary,25,19,14,25,25,19,25,21,,
2019,women,2019-06-11,Italy W,Bulgaria W,3,0,1,https://www.flashscore.com/match/thPkpxrd/#/match-summary,25,19,25,23,25,20,,,,
2019,women,2019-06-11,Belgium W,Netherlands W,3,2,1,https://www.flashscore.com/match/nHAnoISk/#/match-summary,22,25,23,25,25,17,25,19,15,10
2019,women,2019-06-11,Russia W,South Korea W,3,1,1,https://www.flashscore.com/match/8QBrnbDq/#/match-summary,25,23,15,25,25,20,25,17,,
2019,women,2019-06-11,China W,Poland W,3,0,1,https://www.flashscore.com/match/2qZFjv5S/#/match-summary,25,12,25,18,25,22,,,,
2019,women,2019-06-11,Japan W,Brazil W,1,3,0,https://www.flashscore.com/match/ltVBiKkM/#/match-summary,17,25,19,25,25,20,22,25,,
2019,women,2019-06-11,USA W,Turkey W,0,3,0,https://www.flashscore.com/match/fJV7h0zG/#/match-summary,15,25,17,25,25,27,,,,
2019,women,2019-06-11,Serbia W,Thailand W,0,3,0,https://www.flashscore.com/match/GSW3gtL9/#/match-summary,22,25,23,25,21,25,,,,
2019,women,2019-06-06,USA W,Brazil W,1,3,0,https://www.flashscore.com/match/bixafM53/#/match-summary,19,25,17,25,25,22,20,25,,
2019,women,2019-06-06,Germany W,South Korea W,3,0,1,https://www.flashscore.com/match/K0wee2jc/#/match-summary,25,15,25,22,25,16,,,,
2019,women,2019-06-06,Belgium W,Serbia W,3,0,1,https://www.flashscore.com/match/6ckDWIDd/#/match-summary,25,21,25,21,25,14,,,,
2019,women,2019-06-06,Poland W,Russia W,3,2,1,https://www.flashscore.com/match/fNo9Xbbj/#/match-summary,25,23,24,26,25,27,25,20,15,9
