season,gender,match_date,home_team,away_team,home_score,away_score,outcome,match_url,set_1_home,set_1_away,set_2_home,set_2_away,set_3_home,set_3_away,set_4_home,set_4_away,set_5_home,set_5_away
2018,women,2018-06-07,Thailand W,Japan W,2,3,0,https://www.flashscore.com/match/bJMwcBYn/#/match-summary,25,19,25,20,17,25,19.0,25.0,20.0,22.0
2018,women,2018-06-07,South Korea W,Turkey W,0,3,0,https://www.flashscore.com/match/jgNZciJt/#/match-summary,19,25,21,25,23,25,,,,
2018,women,2018-06-07,Brazil W,Russia W,3,2,1,https://www.flashscore.com/match/8WO6fICl/#/match-summary,15,25,25,21,25,20,19.0,25.0,17.0,15.0
2018,women,2018-06-06,Poland W,Germany W,3,1,1,https://www.flashscore.com/match/KYAnek3a/#/match-summary,25,21,21,25,25,20,25.0,9.0,,
2018,women,2018-06-06,Netherlands W,Italy W,2,3,0,https://www.flashscore.com/match/QgvwuwD1/#/match-summary,25,18,23,25,25,19,15.0,25.0,8.0,15.0
2018,women,2018-06-06,Belgium W,Argentina W,3,0,1,https://www.flashscore.com/match/xALsdVmg/#/match-summary,25,22,25,16,25,14,,,,
2018,women,2018-06-06,Serbia W,Dominican Republic W,3,0,1,https://www.flashscore.com/match/rVlYuJce/#/match-summary,25,19,25,20,25,13,,,,
2018,women,2018-06-06,China W,Russia W,3,0,1,https://www.flashscore.com/match/UuQ2ebcr/#/match-summary,25,21,25,19,25,22,,,,
2018,women,2018-06-06,Thailand W,Turkey W,1,3,0,https://www.flashscore.com/match/ETa6FJlE/#/match-summary,20,25,28,30,25,18,19.0,25.0,,
2018,women,2018-06-06,Japan W,South Korea W,3,0,1,https://www.flashscore.com/match/COLNjzCD/#/match-summary,25,22,25,14,25,20,,,,
2018,women,2018-06-06,USA W,Brazil W,3,1,1,https://www.flashscore.com/match/C0wy0vkR/#/match-summary,25,23,26,28,25,21,25.0,18.0,,
2018,women,2018-06-05,Poland W,Argentina W,3,0,1,https://www.flashscore.com/match/OQ73i72O/#/match-summary,25,11,25,14,25,20,,,,
2018,women,2018-06-05,Netherlands W,Dominican Republic W,3,0,1,https://www.flashscore.com/match/URpUtark/#/match-summary,25,22,25,21,25,18,,,,
2018,women,2018-06-05,Germany W,Belgium W,3,1,1,https://www.flashscore.com/match/6kDbhmmI/#/match-summary,25,19,25,21,22,25,25.0,23.0,,
2018,women,2018-06-05,Italy W,Serbia W,3,2,1,https://www.flashscore.com/match/z5oQsuTr/#/match-summary,19,25,25,21,25,21,18.0,25.0,15.0,13.0
2018,women,2018-06-05,China W,Brazil W,2,3,0,https://www.flashscore.com/match/EFKX0KZK/#/match-summary,25,19,23,25,25,27,25.0,10.0,14.0,16.0
2018,women,2018-06-05,Thailand W,South Korea W,1,3,0,https://www.flashscore.com/match/bLHJiGd7/#/match-summary,16,25,18,25,25,20,24.0,26.0,,
