season,gender,match_date,home_team,away_team,home_score,away_score,outcome,match_url,set_1_home,set_1_away,set_2_home,set_2_away,set_3_home,set_3_away,set_4_home,set_4_away,set_5_home,set_5_away
2022,women,2022-07-17,Italy W,Brazil W,3,0,1,https://www.flashscore.com/match/GfkGCRh7/#/match-summary,25,23,25,22,25,22,,,,
2022,women,2022-07-17,Turkey W,Serbia W,0,3,0,https://www.flashscore.com/match/bJfBD7w1/#/match-summary,25,27,17,25,24,26,,,,
2022,women,2022-07-16,Turkey W,Italy W,0,3,0,https://www.flashscore.com/match/IqcDnDhf/#/match-summary,18,25,26,28,22,25,,,,
2022,women,2022-07-16,Serbia W,Brazil W,1,3,0,https://www.flashscore.com/match/hz7sscEH/#/match-summary,25,14,18,25,24,26,19,25,,
2022,women,2022-07-14,Turkey W,Thailand W,3,1,1,https://www.flashscore.com/match/pQFCSHG0/#/match-summary,23,25,25,15,25,18,25,21,,
2022,women,2022-07-14,Italy W,China W,3,1,1,https://www.flashscore.com/match/fyNaVJWs/#/match-summary,25,22,25,19,24,26,25,22,,
2022,women,2022-07-13,USA W,Serbia W,2,3,0,https://www.flashscore.com/match/lbM3Uwnl/#/match-summary,27,29,23,25,25,20,25,20,13,15
2022,women,2022-07-13,Brazil W,Japan W,3,1,1,https://www.flashscore.com/match/hSzYZaOQ/#/match-summary,29,27,28,26,20,25,25,14,,
2022,women,2022-07-03,Netherlands W,Canada W,3,1,1,https://www.flashscore.com/match/fu1iMTAI/#/match-summary,22,25,27,25,26,24,25,23,,
2022,women,2022-07-03,USA W,Germany W,3,1,1,https://www.flashscore.com/match/0I1mN9eC/#/match-summary,25,17,25,13,13,25,25,22,,
2022,women,2022-07-03,Belgium W,Japan W,3,2,1,https://www.flashscore.com/match/nFcqOkt6/#/match-summary,25,16,18,25,25,19,11,25,15,10
2022,women,2022-07-03,Poland W,Bulgaria W,1,3,0,https://www.flashscore.com/match/8Yyp8LAF/#/match-summary,25,22,13,25,17,25,22,25,,
2022,women,2022-07-03,Thailand W,Italy W,0,3,0,https://www.flashscore.com/match/j7EHWMS8/#/match-summary,20,25,14,25,14,25,,,,
2022,women,2022-07-03,China W,South Korea W,3,1,1,https://www.flashscore.com/match/bXDLVtrF/#/match-summary,25,13,19,25,25,19,26,24,,
2022,women,2022-07-02,Germany W,Canada W,3,1,1,https://www.flashscore.com/match/IZ5SRXts/#/match-summary,25,19,19,25,27,25,25,23,,
2022,women,2022-07-02,Japan W,Serbia W,1,3,0,https://www.flashscore.com/match/xxhbq0CE/#/match-summary,25,22,20,25,19,25,22,25,,
2022,women,2022-07-02,Turkey W,USA W,2,3,0,https://www.flashscore.com/match/viZfptc8/#/match-summary,22,25,25,18,25,27,25,23,16,18
2022,women,2022-07-02,Italy W,Bulgaria W,3,0,1,https://www.flashscore.com/match/jB6NLvuF/#/match-summary,25,12,25,19,25,21,,,,
2022,women,2022-07-02,Brazil W,Thailand W,3,1,1,https://www.flashscore.com/match/ULi4NIke/#/match-summary,25,18,26,24,23,25,25,23,,
2022,women,2022-07-02,Dominican Republic W,Poland W,3,2,1,https://www.flashscore.com/match/ncn9Mx51/#/match-summary,20,25,38,36,25,20,13,25,15,9
2022,women,2022-07-01,Serbia W,Canada W,3,1,1,https://www.flashscore.com/match/jVh0Obzk/#/match-summary,25,20,25,14,20,25,25,22,,
2022,women,2022-07-01,Turkey W,Japan W,3,1,1,https://www.flashscore.com/match/d8gdPvLr/#/match-summary,25,20,25,15,18,25,25,22,,
2022,women,2022-07-01,Belgium W,Netherlands W,1,3,0,https://www.flashscore.com/match/Kn2UTKCR/#/match-summary,25,21,24,26,20,25,21,25,,
2022,women,2022-07-01,Brazil W,Bulgaria W,3,0,1,https://www.flashscore.com/match/fVXu91e9/#/match-summary,25,21,25,20,25,18,,,,
2022,women,2022-07-01,Italy W,South Korea W,3,1,1,https://www.flashscore.com/match/Qa9zQBBg/#/match-summary,25,17,23,25,25,15,25,19,,
2022,women,2022-07-01,China W,Dominican Republic W,3,0,1,https://www.flashscore.com/match/dQ4WQidm/#/match-summary,25,19,25,16,25,15,,,,
2022,women,2022-06-30,USA W,Serbia W,3,0,1,https://www.flashscore.com/match/CGFDX2D2/#/match-summary,25,17,33,31,25,16,,,,
2022,women,2022-06-30,Germany W,Belgium W,3,1,1,https://www.flashscore.com/match/AByV8Jz2/#/match-summary,20,25,25,18,25,22,25,20,,
2022,women,2022-06-30,Turkey W,Netherlands W,3,0,1,https://www.flashscore.com/match/d8XQ9aLe/#/match-summary,25,23,25,11,25,21,,,,
