season,gender,match_date,home_team,away_team,home_score,away_score,outcome,match_url,set_1_home,set_1_away,set_2_home,set_2_away,set_3_home,set_3_away,set_4_home,set_4_away,set_5_home,set_5_away
2024,women,2024-06-23,Japan W,Italy W,1,3,0,https://www.flashscore.com/match/EZ4c5EoI/#/match-summary,17,25,17,25,25,21,20,25,,
2024,women,2024-06-23,Brazil W,Poland W,2,3,0,https://www.flashscore.com/match/zkg63hGU/#/match-summary,21,25,28,26,21,25,25,19,9,15
2024,women,2024-06-22,Brazil W,Japan W,2,3,0,https://www.flashscore.com/match/MRz7h5ng/#/match-summary,24,26,25,20,21,25,25,22,12,15
2024,women,2024-06-22,Italy W,Poland W,3,0,1,https://www.flashscore.com/match/MNxrlMUQ/#/match-summary,25,18,25,17,25,12,,,,
2024,women,2024-06-21,Poland W,Turkey W,3,2,1,https://www.flashscore.com/match/U5cyHmLF/#/match-summary,20,25,25,22,25,20,19,25,15,11
2024,women,2024-06-21,Italy W,USA W,3,0,1,https://www.flashscore.com/match/M3xG95Dk/#/match-summary,25,21,25,21,25,23,,,,
2024,women,2024-06-20,Thailand W,Brazil W,0,3,0,https://www.flashscore.com/match/OIwUoYp2/#/match-summary,21,25,20,25,23,25,,,,
2024,women,2024-06-20,China W,Japan W,0,3,0,https://www.flashscore.com/match/2JeqFRkS/#/match-summary,21,25,21,25,22,25,,,,
2024,women,2024-06-16,China W,Poland W,3,0,1,https://www.flashscore.com/match/xzJn4pJJ/#/match-summary,25,23,25,15,25,19,,,,
2024,women,2024-06-16,Japan W,USA W,0,3,0,https://www.flashscore.com/match/YsbNcrdm/#/match-summary,15,25,18,25,24,26,,,,
2024,women,2024-06-16,Turkey W,Brazil W,0,3,0,https://www.flashscore.com/match/OWU4u1tJ/#/match-summary,14,25,14,25,19,25,,,,
2024,women,2024-06-16,Serbia W,Italy W,1,3,0,https://www.flashscore.com/match/fiaJbOts/#/match-summary,20,25,25,20,23,25,22,25,,
2024,women,2024-06-16,Germany W,Thailand W,3,0,1,https://www.flashscore.com/match/ptW0tsRC/#/match-summary,25,17,25,21,25,20,,,,
2024,women,2024-06-15,Netherlands W,South Korea W,3,0,1,https://www.flashscore.com/match/lAMj34YP/#/match-summary,25,21,25,11,25,17,,,,
2024,women,2024-06-15,China W,Turkey W,3,2,1,https://www.flashscore.com/match/tlZqpPRm/#/match-summary,21,25,17,25,25,21,25,23,15,13
2024,women,2024-06-15,Japan W,Serbia W,3,0,1,https://www.flashscore.com/match/S4ydsNB6/#/match-summary,25,22,25,18,25,15,,,,
2024,women,2024-06-15,Poland W,Thailand W,3,0,1,https://www.flashscore.com/match/bPquo5Cs/#/match-summary,25,15,25,23,25,17,,,,
2024,women,2024-06-15,Italy W,USA W,3,1,1,https://www.flashscore.com/match/lExhr3d0/#/match-summary,25,17,19,25,25,15,25,21,,
2024,women,2024-06-15,Dominican Republic W,Bulgaria W,2,3,0,https://www.flashscore.com/match/dGcDko4Q/#/match-summary,26,24,23,25,22,25,26,24,13,15
2024,women,2024-06-15,Canada W,France W,3,0,1,https://www.flashscore.com/match/fiwlqqsf/#/match-summary,25,14,25,18,31,29,,,,
2024,women,2024-06-14,China W,Germany W,3,0,1,https://www.flashscore.com/match/fiHIT3s7/#/match-summary,25,19,25,17,25,18,,,,
2024,women,2024-06-14,Italy W,South Korea W,3,0,1,https://www.flashscore.com/match/ljb9jRlK/#/match-summary,25,16,25,11,25,13,,,,
2024,women,2024-06-14,Dominican Republic W,Poland W,0,3,0,https://www.flashscore.com/match/0UHEUqS0/#/match-summary,31,33,20,25,16,25,,,,
2024,women,2024-06-14,Canada W,Netherlands W,0,3,0,https://www.flashscore.com/match/Aaa5i7ZD/#/match-summary,24,26,16,25,23,25,,,,
2024,women,2024-06-14,Bulgaria W,Brazil W,0,3,0,https://www.flashscore.com/match/MwJAVPCf/#/match-summary,11,25,11,25,23,25,,,,
2024,women,2024-06-14,Serbia W,France W,1,3,0,https://www.flashscore.com/match/8fLMSNdD/#/match-summary,22,25,25,22,23,25,21,25,,
2024,women,2024-06-13,Dominican Republic W,Turkey W,1,3,0,https://www.flashscore.com/match/AoKWx8KK/#/match-summary,25,17,15,25,17,25,18,25,,
2024,women,2024-06-13,Japan W,Canada W,2,3,0,https://www.flashscore.com/match/42O5W5cl/#/match-summary,25,23,25,22,20,25,21,25,14,16
2024,women,2024-06-13,Germany W,Brazil W,1,3,0,https://www.flashscore.com/match/SMURwl5E/#/match-summary,20,25,22,25,25,21,24,26,,
2024,women,2024-06-13,France W,South Korea W,2,3,0,https://www.flashscore.com/match/QBP1Xorr/#/match-summary,23,25,25,21,25,17,22,25,13,15
2024,women,2024-06-13,Bulgaria W,Thailand W,2,3,0,https://www.flashscore.com/match/lWVNvUk8/#/match-summary,23,25,25,22,18,25,25,22,10,15
2024,women,2024-06-13,Netherlands W,USA W,0,3,0,https://www.flashscore.com/match/8WxzxSZQ/#/match-summary,21,25,20,25,22,25,,,,
2024,women,2024-06-12,Brazil W,Poland W,3,1,1,https://www.flashscore.com/match/v1lXH6re/#/match-summary,22,25,25,17,25,17,25,16,,
2024,women,2024-06-12,South Korea W,Japan W,0,3,0,https://www.flashscore.com/match/0GxtGpD7/#/match-summary,16,25,16,25,23,25,,,,
2024,women,2024-06-12,Turkey W,Thailand W,3,0,1,https://www.flashscore.com/match/QcpTInTl/#/match-summary,25,17,25,17,25,17,,,,
2024,women,2024-06-12,Netherlands W,Serbia W,3,1,1,https://www.flashscore.com/match/MPwxHQc1/#/match-summary,25,20,25,21,18,25,25,12,,
2024,women,2024-06-11,Bulgaria W,China W,0,3,0,https://www.flashscore.com/match/lGs0PljL/#/match-summary,15,25,12,25,17,25,,,,
2024,women,2024-06-11,Italy W,Canada W,3,0,1,https://www.flashscore.com/match/WzoPJSDr/#/match-summary,25,16,25,15,25,14,,,,
