home_team,away_team,home_score,away_score,outcome,set_1_home,set_1_away,set_2_home,set_2_away,set_3_home,set_3_away,set_4_home,set_4_away,set_5_home,set_5_away
China W,Italy W,3,1,1,25,13,20,25,25,22,25.0,18.0,,
Thailand W,Belgium W,2,3,0,22,25,25,18,25,23,21.0,25.0,13.0,15.0
USA W,Canada W,3,0,1,25,14,25,22,25,19,,,,
Dominican Republic W,Brazil W,1,3,0,9,25,25,16,18,25,17.0,25.0,,
Germany W,South Korea W,3,0,1,25,22,25,15,25,16,,,,
Turkey W,China W,1,3,0,16,25,25,20,16,25,22.0,25.0,,
Netherlands W,Italy W,0,3,0,19,25,15,25,15,25,,,,
Serbia W,Bulgaria W,3,0,1,26,24,25,15,26,24,,,,
Canada W,Dominican Republic W,3,0,1,25,18,25,15,25,18,,,,
Germany W,Japan W,2,3,0,27,25,25,23,20,25,22.0,25.0,12.0,15.0
Brazil W,Poland W,3,0,1,25,23,25,21,25,22,,,,
Belgium W,Italy W,1,3,0,25,21,19,25,23,25,20.0,25.0,,
Bulgaria W,Netherlands W,3,2,1,25,15,12,25,19,25,25.0,15.0,15.0,7.0
Thailand W,Serbia W,3,2,1,25,23,25,27,25,20,20.0,25.0,15.0,12.0
South Korea W,Japan W,0,3,0,17,25,16,25,11,25,,,,
Poland W,Canada W,3,1,1,20,25,25,22,25,23,25.0,20.0,,
China W,Netherlands W,3,1,1,16,25,25,22,25,23,25.0,23.0,,
Belgium W,Serbia W,1,3,0,25,14,16,25,17,25,22.0,25.0,,
USA W,Dominican Republic W,3,0,1,25,21,25,17,25,18,,,,
Germany W,Brazil W,1,3,0,27,29,25,23,25,27,21.0,25.0,,
Turkey W,Italy W,3,0,1,25,20,25,19,25,19,,,,
Thailand W,Bulgaria W,3,0,1,25,20,25,22,25,20,,,,
