season,gender,match_date,home_team,away_team,home_score,away_score,outcome,set_1_home,set_1_away,set_2_home,set_2_away,set_3_home,set_3_away,set_4_home,set_4_away,set_5_home,set_5_away,match_url
2023,women,2023-06-18,Brazil,USA,0,3,0,22,25,19,25,22,25,,,,,https://www.flashscore.com/match/KpuMYGpc/#/match-summary
2023,women,2023-06-18,Italy,China,3,2,1,23,25,25,23,18,25,25,22,15,12,https://www.flashscore.com/match/Iu1wAX7d/#/match-summary
2023,women,2023-06-18,Dominican Republic,Turkey,1,3,0,23,25,19,25,25,23,20,25,,,https://www.flashscore.com/match/vk2ZADhj/#/match-summary
2023,women,2023-06-18,Bulgaria,Netherlands,0,3,0,24,26,17,25,17,25,,,,,https://www.flashscore.com/match/AFcVBgwp/#/match-summary
2023,women,2023-06-17,Serbia,Croatia,3,1,1,25,16,25,11,23,25,25,17,,,https://www.flashscore.com/match/86B3GZUS/#/match-summary
2023,women,2023-06-17,Japan,USA,3,2,1,23,25,25,23,25,19,23,25,15,6,https://www.flashscore.com/match/QsMbHFFM/#/match-summary
2023,women,2023-06-17,Brazil,Germany,3,1,1,25,22,25,18,22,25,25,17,,,https://www.flashscore.com/match/E7IfIe0G/#/match-summary
2023,women,2023-06-17,Poland,China,3,0,1,25,20,25,23,25,22,,,,,https://www.flashscore.com/match/KpJjJyoA/#/match-summary
2023,women,2023-06-17,Netherlands,Italy,2,3,0,25,22,22,25,20,25,25,18,17,19,https://www.flashscore.com/match/tfKnKHV3/#/match-summary
2023,women,2023-06-17,Dominican Republic,Canada,3,2,1,22,25,25,13,25,17,23,25,15,10,https://www.flashscore.com/match/OIPsLcGc/#/match-summary
2023,women,2023-06-16,Serbia,Thailand,3,2,1,24,26,22,25,25,17,25,12,16,14,https://www.flashscore.com/match/pSQwMw1i/#/match-summary
2023,women,2023-06-16,South Korea,Croatia,0,3,0,23,25,21,25,14,25,,,,,https://www.flashscore.com/match/WOxdcfOj/#/match-summary
2023,women,2023-06-16,Japan,Germany,2,3,0,23,25,25,14,22,25,25,20,8,15,https://www.flashscore.com/match/ILYibz9p/#/match-summary
2023,women,2023-06-16,Bulgaria,China,1,3,0,25,20,7,25,10,25,15,25,,,https://www.flashscore.com/match/xOKNF2vI/#/match-summary
2023,women,2023-06-16,Poland,Netherlands,0,3,0,22,25,21,25,26,28,,,,,https://www.flashscore.com/match/bXLJGrPB/#/match-summary
2023,women,2023-06-16,Turkey,Canada,3,0,1,25,15,25,22,25,20,,,,,https://www.flashscore.com/match/4d7GHO95/#/match-summary
2023,women,2023-06-15,Brazil,Serbia,3,2,1,23,25,25,22,21,25,25,12,15,11,https://www.flashscore.com/match/Q58CI4fa/#/match-summary
2023,women,2023-06-15,Japan,South Korea,3,0,1,25,18,25,13,25,19,,,,,https://www.flashscore.com/match/rsJ7Jpug/#/match-summary
2023,women,2023-06-15,Thailand,USA,0,3,0,21,25,18,25,16,25,,,,,https://www.flashscore.com/match/UwF3KQPn/#/match-summary
2023,women,2023-06-15,Dominican Republic,Italy,2,3,0,16,25,25,16,25,21,22,25,10,15,https://www.flashscore.com/match/zHFaL6At/#/match-summary
2023,women,2023-06-15,Poland,Turkey,3,0,1,25,22,25,20,30,28,,,,,https://www.flashscore.com/match/Y7TXPn2P/#/match-summary
2023,women,2023-06-15,Bulgaria,Canada,0,3,0,15,25,13,25,15,25,,,,,https://www.flashscore.com/match/djpk13PO/#/match-summary
2023,women,2023-06-14,Brazil,South Korea,3,0,1,31,29,25,16,25,16,,,,,https://www.flashscore.com/match/Iaoo2qAI/#/match-summary
2023,women,2023-06-14,Germany,Thailand,3,1,1,25,20,25,13,19,25,25,23,,,https://www.flashscore.com/match/C2rw45u6/#/match-summary
2023,women,2023-06-14,Netherlands,Turkey,0,3,0,29,31,21,25,15,25,,,,,https://www.flashscore.com/match/UwgY4oQa/#/match-summary
2023,women,2023-06-14,Italy,Bulgaria,3,0,1,25,17,25,19,25,23,,,,,https://www.flashscore.com/match/jmfU5RAg/#/match-summary
2023,women,2023-06-13,Japan,Serbia,2,3,0,25,16,20,25,25,16,20,25,10,15,https://www.flashscore.com/match/MDkQ67em/#/match-summary
2023,women,2023-06-13,Croatia,USA,1,3,0,25,17,22,25,18,25,15,25,,,https://www.flashscore.com/match/rNjM7mts/#/match-summary
2023,women,2023-06-13,China,Canada,3,0,1,25,14,25,18,29,27,,,,,https://www.flashscore.com/match/xtEgCTXP/#/match-summary
2023,women,2023-06-13,Dominican Republic,Poland,1,3,0,23,25,28,30,25,23,17,25,,,https://www.flashscore.com/match/OxAkD9IJ/#/match-summary
2023,women,2023-06-04,USA,Turkey,3,2,1,25,22,25,22,22,25,11,25,15,9,https://www.flashscore.com/match/AZL7lQuJ/#/match-summary
2023,women,2023-06-04,Canada,Serbia,3,2,1,18,25,28,26,25,23,18,25,15,12,https://www.flashscore.com/match/WrN3k6QC/#/match-summary
2023,women,2023-06-04,Thailand,South Korea,3,0,1,25,17,28,26,25,21,,,,,https://www.flashscore.com/match/jX56jnB6/#/match-summary
2023,women,2023-06-04,Japan,China,0,3,0,18,25,25,27,25,27,,,,,https://www.flashscore.com/match/Ct72iSe0/#/match-summary
2023,women,2023-06-04,Germany,Bulgaria,3,2,1,18,25,25,20,23,25,26,24,15,10,https://www.flashscore.com/match/IJ7bh8tf/#/match-summary
2023,women,2023-06-04,Croatia,Brazil,0,3,0,24,26,18,25,8,25,,,,,https://www.flashscore.com/match/4G3fglRm/#/match-summary
2023,women,2023-06-03,Turkey,Italy,3,0,1,25,19,26,24,25,19,,,,,https://www.flashscore.com/match/MiEkfUBs/#/match-summary
