season,gender,match_date,home_team,away_team,home_score,away_score,outcome,set_1_home,set_1_away,set_2_home,set_2_away,set_3_home,set_3_away,set_4_home,set_4_away,set_5_home,set_5_away,match_url
2024,women,2024-06-23,Japan,Italy,1,3,0,17,25,17,25,25,21,20,25,,,https://www.flashscore.com/match/EZ4c5EoI/#/match-summary
2024,women,2024-06-23,Brazil,Poland,2,3,0,21,25,28,26,21,25,25,19,9,15,https://www.flashscore.com/match/zkg63hGU/#/match-summary
2024,women,2024-06-22,Brazil,Japan,2,3,0,24,26,25,20,21,25,25,22,12,15,https://www.flashscore.com/match/MRz7h5ng/#/match-summary
2024,women,2024-06-22,Italy,Poland,3,0,1,25,18,25,17,25,12,,,,,https://www.flashscore.com/match/MNxrlMUQ/#/match-summary
2024,women,2024-06-21,Poland,Turkey,3,2,1,20,25,25,22,25,20,19,25,15,11,https://www.flashscore.com/match/U5cyHmLF/#/match-summary
2024,women,2024-06-21,Italy,USA,3,0,1,25,21,25,21,25,23,,,,,https://www.flashscore.com/match/M3xG95Dk/#/match-summary
2024,women,2024-06-20,Thailand,Brazil,0,3,0,21,25,20,25,23,25,,,,,https://www.flashscore.com/match/OIwUoYp2/#/match-summary
2024,women,2024-06-20,China,Japan,0,3,0,21,25,21,25,22,25,,,,,https://www.flashscore.com/match/2JeqFRkS/#/match-summary
2024,women,2024-06-16,China,Poland,3,0,1,25,23,25,15,25,19,,,,,https://www.flashscore.com/match/xzJn4pJJ/#/match-summary
2024,women,2024-06-16,Japan,USA,0,3,0,15,25,18,25,24,26,,,,,https://www.flashscore.com/match/YsbNcrdm/#/match-summary
2024,women,2024-06-16,Turkey,Brazil,0,3,0,14,25,14,25,19,25,,,,,https://www.flashscore.com/match/OWU4u1tJ/#/match-summary
2024,women,2024-06-16,Serbia,Italy,1,3,0,20,25,25,20,23,25,22,25,,,https://www.flashscore.com/match/fiaJbOts/#/match-summary
2024,women,2024-06-16,Germany,Thailand,3,0,1,25,17,25,21,25,20,,,,,https://www.flashscore.com/match/ptW0tsRC/#/match-summary
2024,women,2024-06-15,Netherlands,South Korea,3,0,1,25,21,25,11,25,17,,,,,https://www.flashscore.com/match/lAMj34YP/#/match-summary
2024,women,2024-06-15,China,Turkey,3,2,1,21,25,17,25,25,21,25,23,15,13,https://www.flashscore.com/match/tlZqpPRm/#/match-summary
2024,women,2024-06-15,Japan,Serbia,3,0,1,25,22,25,18,25,15,,,,,https://www.flashscore.com/match/S4ydsNB6/#/match-summary
2024,women,2024-06-15,Poland,Thailand,3,0,1,25,15,25,23,25,17,,,,,https://www.flashscore.com/match/bPquo5Cs/#/match-summary
2024,women,2024-06-15,Italy,USA,3,1,1,25,17,19,25,25,15,25,21,,,https://www.flashscore.com/match/lExhr3d0/#/match-summary
2024,women,2024-06-15,Dominican Republic,Bulgaria,2,3,0,26,24,23,25,22,25,26,24,13,15,https://www.flashscore.com/match/dGcDko4Q/#/match-summary
2024,women,2024-06-15,Canada,France,3,0,1,25,14,25,18,31,29,,,,,https://www.flashscore.com/match/fiwlqqsf/#/match-summary
2024,women,2024-06-14,China,Germany,3,0,1,25,19,25,17,25,18,,,,,https://www.flashscore.com/match/fiHIT3s7/#/match-summary
2024,women,2024-06-14,Italy,South Korea,3,0,1,25,16,25,11,25,13,,,,,https://www.flashscore.com/match/ljb9jRlK/#/match-summary
2024,women,2024-06-14,Dominican Republic,Poland,0,3,0,31,33,20,25,16,25,,,,,https://www.flashscore.com/match/0UHEUqS0/#/match-summary
2024,women,2024-06-14,Canada,Netherlands,0,3,0,24,26,16,25,23,25,,,,,https://www.flashscore.com/match/Aaa5i7ZD/#/match-summary
2024,women,2024-06-14,Bulgaria,Brazil,0,3,0,11,25,11,25,23,25,,,,,https://www.flashscore.com/match/MwJAVPCf/#/match-summary
2024,women,2024-06-14,Serbia,France,1,3,0,22,25,25,22,23,25,21,25,,,https://www.flashscore.com/match/8fLMSNdD/#/match-summary
