season,gender,match_date,home_team,away_team,home_score,away_score,outcome,set_1_home,set_1_away,set_2_home,set_2_away,set_3_home,set_3_away,set_4_home,set_4_away,set_5_home,set_5_away,match_url
2019,men,2019-07-14,Russia,USA,3,1,1,25,23,20,25,25,21,25,20,,,https://www.flashscore.com/match/YuaMObel/#/match-summary
2019,men,2019-07-14,Poland,Brazil,3,0,1,25,17,25,23,25,21,,,,,https://www.flashscore.com/match/S2bQNIAf/#/match-summary
2019,men,2019-07-13,USA,Brazil,3,2,1,25,21,17,25,21,25,25,20,15,9,https://www.flashscore.com/match/nRL1VgaL/#/match-summary
2019,men,2019-07-13,Poland,Russia,1,3,0,19,25,26,24,22,25,21,25,,,https://www.flashscore.com/match/8zNcWZqF/#/match-summary
2019,men,2019-07-12,USA,Russia,3,0,1,25,21,25,17,25,20,,,,,https://www.flashscore.com/match/Aac3NdSH/#/match-summary
2019,men,2019-07-12,Brazil,Iran,3,2,1,25,20,25,23,24,26,20,25,15,10,https://www.flashscore.com/match/rmSHtKSu/#/match-summary
2019,men,2019-07-11,Russia,France,3,0,1,25,16,25,23,25,17,,,,,https://www.flashscore.com/match/W8baOxDB/#/match-summary
2019,men,2019-07-11,Iran,Poland,1,3,0,25,21,18,25,20,25,22,25,,,https://www.flashscore.com/match/6RjCLzcU/#/match-summary
2019,men,2019-07-10,USA,France,3,1,1,25,16,25,22,23,25,25,21,,,https://www.flashscore.com/match/xnaePIc5/#/match-summary
2019,men,2019-07-10,Brazil,Poland,2,3,0,23,25,25,23,21,25,25,21,9,15,https://www.flashscore.com/match/Szh8MGsO/#/match-summary
2019,men,2019-06-30,Brazil,Italy,3,1,1,26,28,25,22,25,18,25,18,,,https://www.flashscore.com/match/C6r0S9LH/#/match-summary
2019,men,2019-06-30,Canada,France,0,3,0,22,25,26,28,23,25,,,,,https://www.flashscore.com/match/YFqdTk6B/#/match-summary
2019,men,2019-06-30,Serbia,Bulgaria,3,0,1,25,23,25,12,25,18,,,,,https://www.flashscore.com/match/vgphUVj5/#/match-summary
2019,men,2019-06-30,Poland,Portugal,3,0,1,25,18,25,21,25,20,,,,,https://www.flashscore.com/match/QktlVBya/#/match-summary
2019,men,2019-06-30,Iran,USA,0,3,0,25,27,21,25,20,25,,,,,https://www.flashscore.com/match/rRjqWiMh/#/match-summary
2019,men,2019-06-30,Germany,Japan,2,3,0,17,25,25,23,25,21,18,25,9,15,https://www.flashscore.com/match/CMWNskL4/#/match-summary
2019,men,2019-06-30,Australia,Argentina,0,3,0,23,25,18,25,24,26,,,,,https://www.flashscore.com/match/4zhuXX6n/#/match-summary
2019,men,2019-06-30,China,Russia,0,3,0,23,25,23,25,26,28,,,,,https://www.flashscore.com/match/rmSJrV5b/#/match-summary
2019,men,2019-06-29,Brazil,Canada,3,0,1,25,20,25,19,25,19,,,,,https://www.flashscore.com/match/z1myYDit/#/match-summary
2019,men,2019-06-29,France,Italy,3,1,1,27,25,25,19,21,25,25,20,,,https://www.flashscore.com/match/Yi19xfqP/#/match-summary
2019,men,2019-06-29,Portugal,Japan,1,3,0,20,25,22,25,25,22,20,25,,,https://www.flashscore.com/match/UJzTT1uP/#/match-summary
2019,men,2019-06-29,Bulgaria,Iran,0,3,0,23,25,23,25,21,25,,,,,https://www.flashscore.com/match/IqXOUsQI/#/match-summary
2019,men,2019-06-29,Germany,Poland,1,3,0,19,25,25,21,14,25,23,25,,,https://www.flashscore.com/match/OMXKVNAC/#/match-summary
2019,men,2019-06-29,USA,Serbia,3,1,1,14,25,25,20,29,27,26,24,,,https://www.flashscore.com/match/pWYGW3e6/#/match-summary
2019,men,2019-06-29,Australia,China,3,1,1,24,26,25,15,25,22,25,18,,,https://www.flashscore.com/match/SfvCXqt0/#/match-summary
2019,men,2019-06-29,Argentina,Russia,2,3,0,19,25,25,22,18,25,25,21,11,15,https://www.flashscore.com/match/l4u8YPQg/#/match-summary
2019,men,2019-06-28,Brazil,France,3,1,1,23,25,25,18,25,23,25,23,,,https://www.flashscore.com/match/fst4Z5Bm/#/match-summary
2019,men,2019-06-28,Italy,Canada,1,3,0,25,15,20,25,22,25,18,25,,,https://www.flashscore.com/match/tvx0znds/#/match-summary
2019,men,2019-06-28,Germany,Portugal,3,1,1,28,26,20,25,25,10,25,23,,,https://www.flashscore.com/match/zcaXvSmQ/#/match-summary
2019,men,2019-06-28,Bulgaria,USA,3,1,1,21,25,25,19,25,23,25,23,,,https://www.flashscore.com/match/d60Tu8YJ/#/match-summary
2019,men,2019-06-28,Poland,Japan,3,1,1,22,25,25,19,27,25,25,20,,,https://www.flashscore.com/match/rkcnHOeJ/#/match-summary
2019,men,2019-06-28,Iran,Serbia,3,1,1,25,23,26,28,25,22,25,19,,,https://www.flashscore.com/match/MZ8wJpR6/#/match-summary
2019,men,2019-06-28,Australia,Russia,0,3,0,20,25,15,25,18,25,,,,,https://www.flashscore.com/match/8W4ZJQB0/#/match-summary
2019,men,2019-06-28,China,Argentina,1,3,0,17,25,25,20,21,25,19,25,,,https://www.flashscore.com/match/E95VK6df/#/match-summary
2019,men,2019-06-23,Brazil,Russia,3,0,1,25,17,25,21,28,26,,,,,https://www.flashscore.com/match/zJ6RLnsl/#/match-summary
2019,men,2019-06-23,USA,China,3,0,1,25,20,25,19,25,19,,,,,https://www.flashscore.com/match/IsCMMSRs/#/match-summary
2019,men,2019-06-23,Germany,Bulgaria,2,3,0,28,26,25,18,23,25,19,25,10,15,https://www.flashscore.com/match/GYPfR8JQ/#/match-summary
2019,men,2019-06-23,Italy,Poland,2,3,0,25,23,22,25,25,23,21,25,23,25,https://www.flashscore.com/match/MBQjSl4K/#/match-summary
2019,men,2019-06-23,Canada,Japan,3,2,1,25,18,26,24,23,25,21,25,15,13,https://www.flashscore.com/match/4dTFqBjh/#/match-summary
2019,men,2019-06-23,Argentina,Serbia,3,0,1,25,17,25,23,25,18,,,,,https://www.flashscore.com/match/AyNnTUlE/#/match-summary
2019,men,2019-06-23,Iran,France,0,3,0,18,25,24,26,21,25,,,,,https://www.flashscore.com/match/8Wr44oCD/#/match-summary
2019,men,2019-06-23,Portugal,Australia,0,3,0,23,25,22,25,25,27,,,,,https://www.flashscore.com/match/Uup05Rd7/#/match-summary
2019,men,2019-06-22,USA,Canada,1,3,0,22,25,25,22,23,25,17,25,,,https://www.flashscore.com/match/06ud67s1/#/match-summary
2019,men,2019-06-22,Brazil,Germany,3,2,1,20,25,25,18,21,25,25,17,15,13,https://www.flashscore.com/match/MFth7mSf/#/match-summary
2019,men,2019-06-22,Bulgaria,Russia,0,3,0,20,25,20,25,21,25,,,,,https://www.flashscore.com/match/viim8TCl/#/match-summary
2019,men,2019-06-22,China,Japan,0,3,0,19,25,20,25,23,25,,,,,https://www.flashscore.com/match/MXwBpiyn/#/match-summary
2019,men,2019-06-22,Italy,Argentina,1,3,0,22,25,25,23,19,25,19,25,,,https://www.flashscore.com/match/Qmmq99cr/#/match-summary
2019,men,2019-06-22,Poland,Serbia,3,2,1,32,30,21,25,25,21,19,25,15,11,https://www.flashscore.com/match/YiPFQyTF/#/match-summary
2019,men,2019-06-22,Iran,Australia,3,0,1,25,19,25,19,25,14,,,,,https://www.flashscore.com/match/f1QBRHD9/#/match-summary
2019,men,2019-06-22,France,Portugal,3,0,1,25,23,26,24,25,23,,,,,https://www.flashscore.com/match/Ek9EScb3/#/match-summary
2019,men,2019-06-21,USA,Japan,3,0,1,25,15,25,19,25,19,,,,,https://www.flashscore.com/match/zaAATwqc/#/match-summary
2019,men,2019-06-21,Brazil,Bulgaria,3,1,1,25,20,21,25,25,19,25,14,,,https://www.flashscore.com/match/MeMS4f6d/#/match-summary
2019,men,2019-06-21,Canada,China,3,1,1,25,19,25,23,22,25,25,17,,,https://www.flashscore.com/match/8hIO5zij/#/match-summary
2019,men,2019-06-21,Germany,Russia,1,3,0,25,22,21,25,19,25,14,25,,,https://www.flashscore.com/match/QTSJ6Gyp/#/match-summary
2019,men,2019-06-21,Italy,Serbia,3,0,1,26,24,25,19,25,22,,,,,https://www.flashscore.com/match/OKthBdTS/#/match-summary
2019,men,2019-06-21,Poland,Argentina,3,2,1,25,21,25,23,25,27,20,25,19,17,https://www.flashscore.com/match/foxlCxEM/#/match-summary
2019,men,2019-06-21,Iran,Portugal,3,1,1,23,25,27,25,25,17,25,18,,,https://www.flashscore.com/match/GfwpDIbG/#/match-summary
2019,men,2019-06-21,France,Australia,3,0,1,25,23,25,22,25,22,,,,,https://www.flashscore.com/match/YVmuEbqA/#/match-summary
2019,men,2019-06-16,Italy,Bulgaria,3,1,1,25,14,25,20,23,25,25,21,,,https://www.flashscore.com/match/zoVyFvU3/#/match-summary
2019,men,2019-06-16,Portugal,Brazil,0,3,0,19,25,21,25,18,25,,,,,https://www.flashscore.com/match/tOVXFKEc/#/match-summary
2019,men,2019-06-16,France,USA,1,3,0,25,23,22,25,26,28,25,27,,,https://www.flashscore.com/match/2XWTG0ai/#/match-summary
2019,men,2019-06-16,China,Serbia,1,3,0,17,25,22,25,27,25,18,25,,,https://www.flashscore.com/match/Uq2FcwaT/#/match-summary
2019,men,2019-06-16,Iran,Russia,3,0,1,25,20,26,24,25,23,,,,,https://www.flashscore.com/match/QFmohHMj/#/match-summary
2019,men,2019-06-16,Japan,Australia,3,2,1,25,18,25,27,23,25,25,22,17,15,https://www.flashscore.com/match/nPlsgc7p/#/match-summary
2019,men,2019-06-16,Argentina,Germany,3,2,1,25,19,23,25,23,25,25,23,15,10,https://www.flashscore.com/match/8UZ6oXLu/#/match-summary
2019,men,2019-06-16,Poland,Canada,3,1,1,25,20,25,27,25,20,28,26,,,https://www.flashscore.com/match/GtbBbJqN/#/match-summary
2019,men,2019-06-15,France,Argentina,1,3,0,18,25,17,25,25,19,20,25,,,https://www.flashscore.com/match/YH86aaUG/#/match-summary
2019,men,2019-06-15,Portugal,Serbia,2,3,0,25,21,15,25,22,25,32,30,9,15,https://www.flashscore.com/match/fR920uFA/#/match-summary
2019,men,2019-06-15,Bulgaria,Japan,2,3,0,25,22,19,25,25,16,19,25,19,21,https://www.flashscore.com/match/n1Ab1La4/#/match-summary
2019,men,2019-06-15,Brazil,China,3,0,1,25,15,25,18,25,22,,,,,https://www.flashscore.com/match/QoMk3sVi/#/match-summary
2019,men,2019-06-15,USA,Germany,3,1,1,25,22,21,25,25,19,25,20,,,https://www.flashscore.com/match/8ABf21pb/#/match-summary
2019,men,2019-06-15,Australia,Italy,1,3,0,18,25,32,30,18,25,15,25,,,https://www.flashscore.com/match/buU3uvwo/#/match-summary
2019,men,2019-06-15,Iran,Poland,3,2,1,25,20,21,25,18,25,25,17,15,8,https://www.flashscore.com/match/CrIo4NFo/#/match-summary
2019,men,2019-06-15,Russia,Canada,3,1,1,25,23,22,25,25,20,25,23,,,https://www.flashscore.com/match/dWsxpKUT/#/match-summary
2019,men,2019-06-14,Portugal,China,3,0,1,25,22,25,17,25,23,,,,,https://www.flashscore.com/match/vemXp0FN/#/match-summary
2019,men,2019-06-14,France,Germany,3,1,1,24,26,25,20,25,19,25,20,,,https://www.flashscore.com/match/04lTot0H/#/match-summary
2019,men,2019-06-14,Bulgaria,Australia,3,2,1,20,25,29,27,22,25,25,21,15,13,https://www.flashscore.com/match/6skPnMpB/#/match-summary
2019,men,2019-06-14,Brazil,Serbia,2,3,0,25,17,22,25,25,17,20,25,12,15,https://www.flashscore.com/match/f7oLm2V4/#/match-summary
2019,men,2019-06-14,USA,Argentina,3,1,1,25,22,25,19,21,25,25,21,,,https://www.flashscore.com/match/CrdGlrGb/#/match-summary
2019,men,2019-06-14,Iran,Canada,3,0,1,25,15,26,24,25,16,,,,,https://www.flashscore.com/match/YicCkO0h/#/match-summary
2019,men,2019-06-14,Japan,Italy,1,3,0,25,23,15,25,27,29,21,25,,,https://www.flashscore.com/match/4Ih8j4on/#/match-summary
2019,men,2019-06-14,Russia,Poland,3,1,1,24,26,25,20,25,22,25,19,,,https://www.flashscore.com/match/QRg4ipWu/#/match-summary
2019,men,2019-06-09,Canada,Serbia,2,3,0,17,25,26,24,21,25,28,26,12,15,https://www.flashscore.com/match/04ScW00U/#/match-summary
2019,men,2019-06-09,Australia,Germany,3,0,1,25,20,25,20,25,16,,,,,https://www.flashscore.com/match/W8b1QmjU/#/match-summary
2019,men,2019-06-09,Russia,Italy,3,0,1,29,27,25,16,25,18,,,,,https://www.flashscore.com/match/n1OgXtoO/#/match-summary
2019,men,2019-06-09,China,Poland,0,3,0,22,25,13,25,15,25,,,,,https://www.flashscore.com/match/hvPkYMVH/#/match-summary
2019,men,2019-06-09,Portugal,USA,1,3,0,20,25,25,22,22,25,17,25,,,https://www.flashscore.com/match/EmQoZ2GB/#/match-summary
2019,men,2019-06-09,Japan,Iran,0,3,0,22,25,21,25,19,25,,,,,https://www.flashscore.com/match/nRgkzq15/#/match-summary
2019,men,2019-06-09,Bulgaria,France,3,2,1,18,25,23,25,25,21,25,23,15,11,https://www.flashscore.com/match/8zeoyPoa/#/match-summary
2019,men,2019-06-09,Argentina,Brazil,2,3,0,20,25,25,21,28,26,23,25,12,15,https://www.flashscore.com/match/EDesx5Wh/#/match-summary
2019,men,2019-06-08,Canada,Germany,3,2,1,23,25,29,27,25,18,23,25,15,12,https://www.flashscore.com/match/0AiwwoHn/#/match-summary
2019,men,2019-06-08,Serbia,Australia,3,2,1,22,25,14,25,25,21,25,21,15,9,https://www.flashscore.com/match/Io2YwR1t/#/match-summary
2019,men,2019-06-08,Russia,USA,3,0,1,25,22,25,19,25,15,,,,,https://www.flashscore.com/match/tMv5egXD/#/match-summary
2019,men,2019-06-08,China,France,0,3,0,16,25,23,25,20,25,,,,,https://www.flashscore.com/match/h6oNW9fD/#/match-summary
2019,men,2019-06-08,Italy,Portugal,3,0,1,25,13,25,20,25,11,,,,,https://www.flashscore.com/match/EFnJXku7/#/match-summary
2019,men,2019-06-08,Japan,Brazil,0,3,0,22,25,19,25,21,25,,,,,https://www.flashscore.com/match/WjcEYVP0/#/match-summary
2019,men,2019-06-08,Poland,Bulgaria,3,1,1,22,25,25,19,27,25,25,20,,,https://www.flashscore.com/match/KGgAZBAf/#/match-summary
2019,men,2019-06-08,Argentina,Iran,1,3,0,19,25,25,20,22,25,32,34,,,https://www.flashscore.com/match/Qgf6zhel/#/match-summary
2019,men,2019-06-07,Canada,Australia,3,0,1,25,23,25,17,25,18,,,,,https://www.flashscore.com/match/n3e2yYur/#/match-summary
2019,men,2019-06-07,Germany,Serbia,3,2,1,25,20,16,25,26,28,26,24,15,9,https://www.flashscore.com/match/69DZuEXQ/#/match-summary
2019,men,2019-06-07,Russia,Portugal,3,0,1,25,19,25,22,25,20,,,,,https://www.flashscore.com/match/SIEVtfIK/#/match-summary
2019,men,2019-06-07,China,Bulgaria,3,0,1,26,24,25,20,25,17,,,,,https://www.flashscore.com/match/YeFRsz3E/#/match-summary
2019,men,2019-06-07,Italy,USA,3,1,1,25,23,13,25,25,20,25,23,,,https://www.flashscore.com/match/KhBNrGm8/#/match-summary
2019,men,2019-06-07,Japan,Argentina,3,0,1,25,16,25,16,33,31,,,,,https://www.flashscore.com/match/ImXvKWA7/#/match-summary
2019,men,2019-06-07,France,Poland,3,1,1,28,26,25,23,24,26,25,20,,,https://www.flashscore.com/match/vcYzLCe1/#/match-summary
2019,men,2019-06-07,Brazil,Iran,3,2,1,23,25,25,16,21,25,33,31,15,10,https://www.flashscore.com/match/WWYWLhte/#/match-summary
