season,gender,match_date,home_team,away_team,home_score,away_score,outcome,set_1_home,set_1_away,set_2_home,set_2_away,set_3_home,set_3_away,set_4_home,set_4_away,set_5_home,set_5_away,match_url
2021,men,2021-06-27,Brazil,Poland,3,1,1,22,25,25,23,25,16,25,14,,,https://www.flashscore.com/match/WlYINX14/#/match-summary
2021,men,2021-06-27,France,Slovenia,3,0,1,25,20,25,18,25,19,,,,,https://www.flashscore.com/match/EDNNMiHA/#/match-summary
2021,men,2021-06-26,Poland,Slovenia,3,0,1,25,22,25,21,25,23,,,,,https://www.flashscore.com/match/2BLHKr9l/#/match-summary
2021,men,2021-06-26,Brazil,France,3,0,1,25,20,25,18,25,19,,,,,https://www.flashscore.com/match/l8HDLOgr/#/match-summary
2021,men,2021-06-23,Brazil,Russia,0,3,0,21,25,26,28,20,25,,,,,https://www.flashscore.com/match/tK9JPKjU/#/match-summary
2021,men,2021-06-23,Italy,Germany,3,2,1,25,12,24,26,25,22,21,25,15,13,https://www.flashscore.com/match/MHgIRtMH/#/match-summary
2021,men,2021-06-23,Slovenia,Bulgaria,3,0,1,25,23,25,16,25,18,,,,,https://www.flashscore.com/match/rRfESM6B/#/match-summary
2021,men,2021-06-23,Iran,Argentina,1,3,0,31,33,23,25,32,30,18,25,,,https://www.flashscore.com/match/E7vYrrih/#/match-summary
2021,men,2021-06-23,France,Poland,3,2,1,25,22,21,25,22,25,25,20,15,11,https://www.flashscore.com/match/l4eAT2i5/#/match-summary
2021,men,2021-06-23,USA,Japan,3,0,1,25,21,25,23,25,20,,,,,https://www.flashscore.com/match/z1i6Urxa/#/match-summary
2021,men,2021-06-23,Canada,Serbia,3,2,1,17,25,21,25,25,17,25,20,17,15,https://www.flashscore.com/match/2TAFQ0yO/#/match-summary
2021,men,2021-06-23,Australia,Netherlands,0,3,0,23,25,19,25,19,25,,,,,https://www.flashscore.com/match/YP4IbwLL/#/match-summary
2021,men,2021-06-22,Russia,Italy,3,2,1,25,21,16,25,25,17,19,25,15,12,https://www.flashscore.com/match/r3CRyRqP/#/match-summary
2021,men,2021-06-22,Brazil,Germany,3,0,1,25,21,25,21,25,23,,,,,https://www.flashscore.com/match/Eo3cW47n/#/match-summary
2021,men,2021-06-22,France,Argentina,3,0,1,26,24,25,21,25,22,,,,,https://www.flashscore.com/match/vVooTYuP/#/match-summary
2021,men,2021-06-22,Japan,Slovenia,0,3,0,16,25,16,25,26,28,,,,,https://www.flashscore.com/match/8WUZVzd6/#/match-summary
2021,men,2021-06-22,Iran,Poland,0,3,0,20,25,20,25,16,25,,,,,https://www.flashscore.com/match/nNTwVfBC/#/match-summary
2021,men,2021-06-22,Bulgaria,USA,0,3,0,19,25,24,26,9,25,,,,,https://www.flashscore.com/match/tpTsUEQI/#/match-summary
2021,men,2021-06-22,Serbia,Netherlands,3,2,1,25,21,21,25,25,18,21,25,17,15,https://www.flashscore.com/match/Ikra773g/#/match-summary
