season,gender,match_date,home_team,away_team,home_score,away_score,outcome,set_1_home,set_1_away,set_2_home,set_2_away,set_3_home,set_3_away,set_4_home,set_4_away,set_5_home,set_5_away,match_url
2022,women,2022-07-17,Italy,Brazil,3,0,1,25,23,25,22,25,22,,,,,https://www.flashscore.com/match/GfkGCRh7/#/match-summary
2022,women,2022-07-17,Turkey,Serbia,0,3,0,25,27,17,25,24,26,,,,,https://www.flashscore.com/match/bJfBD7w1/#/match-summary
2022,women,2022-07-16,Turkey,Italy,0,3,0,18,25,26,28,22,25,,,,,https://www.flashscore.com/match/IqcDnDhf/#/match-summary
2022,women,2022-07-16,Serbia,Brazil,1,3,0,25,14,18,25,24,26,19,25,,,https://www.flashscore.com/match/hz7sscEH/#/match-summary
2022,women,2022-07-14,Turkey,Thailand,3,1,1,23,25,25,15,25,18,25,21,,,https://www.flashscore.com/match/pQFCSHG0/#/match-summary
2022,women,2022-07-14,Italy,China,3,1,1,25,22,25,19,24,26,25,22,,,https://www.flashscore.com/match/fyNaVJWs/#/match-summary
2022,women,2022-07-13,USA,Serbia,2,3,0,27,29,23,25,25,20,25,20,13,15,https://www.flashscore.com/match/lbM3Uwnl/#/match-summary
2022,women,2022-07-13,Brazil,Japan,3,1,1,29,27,28,26,20,25,25,14,,,https://www.flashscore.com/match/hSzYZaOQ/#/match-summary
2022,women,2022-07-03,Netherlands,Canada,3,1,1,22,25,27,25,26,24,25,23,,,https://www.flashscore.com/match/fu1iMTAI/#/match-summary
2022,women,2022-07-03,USA,Germany,3,1,1,25,17,25,13,13,25,25,22,,,https://www.flashscore.com/match/0I1mN9eC/#/match-summary
2022,women,2022-07-03,Belgium,Japan,3,2,1,25,16,18,25,25,19,11,25,15,10,https://www.flashscore.com/match/nFcqOkt6/#/match-summary
2022,women,2022-07-03,Poland,Bulgaria,1,3,0,25,22,13,25,17,25,22,25,,,https://www.flashscore.com/match/8Yyp8LAF/#/match-summary
2022,women,2022-07-03,Thailand,Italy,0,3,0,20,25,14,25,14,25,,,,,https://www.flashscore.com/match/j7EHWMS8/#/match-summary
2022,women,2022-07-03,China,South Korea,3,1,1,25,13,19,25,25,19,26,24,,,https://www.flashscore.com/match/bXDLVtrF/#/match-summary
2022,women,2022-07-02,Germany,Canada,3,1,1,25,19,19,25,27,25,25,23,,,https://www.flashscore.com/match/IZ5SRXts/#/match-summary
2022,women,2022-07-02,Japan,Serbia,1,3,0,25,22,20,25,19,25,22,25,,,https://www.flashscore.com/match/xxhbq0CE/#/match-summary
