season,gender,match_date,home_team,away_team,home_score,away_score,outcome,set_1_home,set_1_away,set_2_home,set_2_away,set_3_home,set_3_away,set_4_home,set_4_away,set_5_home,set_5_away,match_url
2021,women,2021-06-25,Brazil,USA,1,3,0,28,26,23,25,23,25,21,25,,,https://www.flashscore.com/match/vZyKDIRd/#/match-summary
2021,women,2021-06-25,Japan,Turkey,0,3,0,19,25,16,25,17,25,,,,,https://www.flashscore.com/match/IPzOCxs3/#/match-summary
2021,women,2021-06-24,USA,Turkey,3,0,1,25,21,25,23,25,20,,,,,https://www.flashscore.com/match/08I4zUmr/#/match-summary
2021,women,2021-06-24,Brazil,Japan,3,1,1,25,15,25,23,29,31,25,16,,,https://www.flashscore.com/match/CrM8Zm3l/#/match-summary
2021,women,2021-06-20,Brazil,Turkey,3,1,1,25,18,25,16,25,27,25,15,,,https://www.flashscore.com/match/2oGBiqbU/#/match-summary
2021,women,2021-06-20,Belgium,Canada,3,0,1,26,24,25,17,25,17,,,,,https://www.flashscore.com/match/hAeLBnqn/#/match-summary
2021,women,2021-06-20,South Korea,Netherlands,2,3,0,20,25,25,23,18,25,25,22,12,15,https://www.flashscore.com/match/EPqU9QDb/#/match-summary
2021,women,2021-06-20,Russia,Poland,2,3,0,17,25,25,20,16,25,25,22,7,15,https://www.flashscore.com/match/zZpQA6bh/#/match-summary
2021,women,2021-06-20,Japan,Serbia,3,0,1,25,12,25,22,25,15,,,,,https://www.flashscore.com/match/80bX8pT4/#/match-summary
2021,women,2021-06-20,Thailand,Italy,1,3,0,35,33,21,25,25,27,20,25,,,https://www.flashscore.com/match/nicy84rB/#/match-summary
2021,women,2021-06-20,China,USA,3,0,1,25,10,25,20,25,17,,,,,https://www.flashscore.com/match/UFnt7OcH/#/match-summary
2021,women,2021-06-20,Dominican Republic,Germany,3,2,1,25,21,25,22,14,25,25,27,15,9,https://www.flashscore.com/match/v7iHCSTu/#/match-summary
2021,women,2021-06-19,Belgium,Italy,3,2,1,25,17,20,25,22,25,25,17,15,10,https://www.flashscore.com/match/v7VocmUh/#/match-summary
2021,women,2021-06-19,Brazil,Netherlands,3,0,1,25,19,25,19,25,20,,,,,https://www.flashscore.com/match/WtSwa9at/#/match-summary
2021,women,2021-06-19,South Korea,Turkey,1,3,0,23,25,25,20,17,25,18,25,,,https://www.flashscore.com/match/Y5OfeRb5/#/match-summary
2021,women,2021-06-19,China,Poland,3,0,1,26,24,25,22,25,16,,,,,https://www.flashscore.com/match/OfH7hPrO/#/match-summary
2021,women,2021-06-19,Thailand,Canada,3,0,1,25,16,25,17,25,17,,,,,https://www.flashscore.com/match/6JM2g5TH/#/match-summary
