season,gender,match_date,home_team,away_team,home_score,away_score,outcome,set_1_home,set_1_away,set_2_home,set_2_away,set_3_home,set_3_away,set_4_home,set_4_away,set_5_home,set_5_away,match_url
2022,men,2022-07-24,France,USA,3,2,1,25,16,25,19,15,25,21,25,15,10,https://www.flashscore.com/match/WjaF0cnp/#/match-summary
2022,men,2022-07-24,Italy,Poland,0,3,0,16,25,23,25,20,25,,,,,https://www.flashscore.com/match/fV7m5wvT/#/match-summary
2022,men,2022-07-23,Italy,France,0,3,0,22,25,20,25,15,25,,,,,https://www.flashscore.com/match/vknACPTe/#/match-summary
2022,men,2022-07-23,Poland,USA,0,3,0,22,25,23,25,13,25,,,,,https://www.flashscore.com/match/G0ElNDMP/#/match-summary
2022,men,2022-07-21,Poland,Iran,3,2,1,25,21,24,26,25,18,16,25,15,7,https://www.flashscore.com/match/Stq4OGcE/#/match-summary
2022,men,2022-07-21,France,Japan,3,0,1,26,24,25,16,25,20,,,,,https://www.flashscore.com/match/Ms1x68sm/#/match-summary
2022,men,2022-07-20,Italy,Netherlands,3,1,1,21,25,25,22,25,13,25,22,,,https://www.flashscore.com/match/ri2Y6lSt/#/match-summary
2022,men,2022-07-20,USA,Brazil,3,1,1,20,25,25,22,25,23,25,17,,,https://www.flashscore.com/match/ljp0Pdr8/#/match-summary
2022,men,2022-07-10,Poland,Slovenia,3,1,1,25,14,25,23,23,25,25,17,,,https://www.flashscore.com/match/Qgv4gPIO/#/match-summary
2022,men,2022-07-10,Italy,Netherlands,3,0,1,25,23,26,24,25,21,,,,,https://www.flashscore.com/match/4E64MNnB/#/match-summary
2022,men,2022-07-10,China,Serbia,1,3,0,17,25,17,25,25,23,22,25,,,https://www.flashscore.com/match/ABmdtR3N/#/match-summary
2022,men,2022-07-10,Brazil,Japan,3,0,1,25,23,25,23,25,22,,,,,https://www.flashscore.com/match/nwd9Ls2H/#/match-summary
2022,men,2022-07-10,Australia,France,0,3,0,16,25,12,25,26,28,,,,,https://www.flashscore.com/match/jB20N3X4/#/match-summary
2022,men,2022-07-10,USA,Argentina,3,2,1,29,27,22,25,20,25,25,13,17,15,https://www.flashscore.com/match/Ic4hPP2h/#/match-summary
2022,men,2022-07-09,Poland,Netherlands,3,0,1,25,19,25,23,25,22,,,,,https://www.flashscore.com/match/dSRLB6Yh/#/match-summary
2022,men,2022-07-09,Iran,Serbia,3,0,1,35,33,25,21,25,12,,,,,https://www.flashscore.com/match/dEnmc7Ja/#/match-summary
2022,men,2022-07-09,China,Bulgaria,3,1,1,26,28,25,23,25,23,25,17,,,https://www.flashscore.com/match/WKlhs7lH/#/match-summary
2022,men,2022-07-09,Germany,Japan,1,3,0,25,23,22,25,20,25,20,25,,,https://www.flashscore.com/match/beliRoYu/#/match-summary
2022,men,2022-07-09,Canada,USA,0,3,0,19,25,15,25,19,25,,,,,https://www.flashscore.com/match/8W8s7rmO/#/match-summary
2022,men,2022-07-09,France,Argentina,1,3,0,22,25,25,23,23,25,19,25,,,https://www.flashscore.com/match/nHKY84IB/#/match-summary
2022,men,2022-07-08,Italy,Serbia,3,0,1,25,21,25,14,25,23,,,,,https://www.flashscore.com/match/4K9EDS3t/#/match-summary
2022,men,2022-07-08,Slovenia,Iran,0,3,0,24,26,14,25,21,25,,,,,https://www.flashscore.com/match/dl3dOqIb/#/match-summary
2022,men,2022-07-08,Bulgaria,Netherlands,3,1,1,22,25,25,16,25,21,25,21,,,https://www.flashscore.com/match/n3u0f53I/#/match-summary
2022,men,2022-07-08,Japan,Canada,3,1,1,25,20,25,16,22,25,25,20,,,https://www.flashscore.com/match/viHQAQma/#/match-summary
2022,men,2022-07-08,France,Brazil,3,0,1,25,21,25,22,25,21,,,,,https://www.flashscore.com/match/bs9ICnJn/#/match-summary
2022,men,2022-07-08,Argentina,Australia,3,1,1,21,25,25,23,25,19,25,15,,,https://www.flashscore.com/match/2BNnI8eP/#/match-summary
2022,men,2022-07-07,Poland,China,3,0,1,26,24,25,16,25,18,,,,,https://www.flashscore.com/match/EqfmrmZA/#/match-summary
2022,men,2022-07-07,Bulgaria,Slovenia,1,3,0,22,25,25,22,18,25,16,25,,,https://www.flashscore.com/match/MZCo622U/#/match-summary
2022,men,2022-07-07,Italy,Iran,3,1,1,25,16,25,27,25,23,25,23,,,https://www.flashscore.com/match/Q7Jx8OXH/#/match-summary
2022,men,2022-07-07,Canada,Brazil,0,3,0,18,25,19,25,16,25,,,,,https://www.flashscore.com/match/httdeolC/#/match-summary
2022,men,2022-07-07,Germany,Australia,3,1,1,20,25,25,16,25,21,26,24,,,https://www.flashscore.com/match/vwxhdRY5/#/match-summary
2022,men,2022-07-07,France,USA,2,3,0,25,15,22,25,25,22,14,25,8,15,https://www.flashscore.com/match/INmqbm4g/#/match-summary
2022,men,2022-07-06,Slovenia,Serbia,3,0,1,25,15,25,19,25,23,,,,,https://www.flashscore.com/match/QPC84kRP/#/match-summary
2022,men,2022-07-06,Netherlands,China,3,0,1,29,27,25,12,25,13,,,,,https://www.flashscore.com/match/zgeqqTJ4/#/match-summary
2022,men,2022-07-06,Japan,Australia,3,1,1,25,18,25,15,23,25,25,19,,,https://www.flashscore.com/match/W6ky09Zt/#/match-summary
2022,men,2022-07-06,Brazil,Germany,3,1,1,25,27,25,17,25,20,25,19,,,https://www.flashscore.com/match/CM845VBJ/#/match-summary
2022,men,2022-07-05,Iran,Poland,3,2,1,21,25,25,23,25,22,25,27,15,7,https://www.flashscore.com/match/bJKMtnZI/#/match-summary
2022,men,2022-07-05,Bulgaria,Italy,0,3,0,15,25,20,25,23,25,,,,,https://www.flashscore.com/match/KSLIsSJC/#/match-summary
2022,men,2022-07-05,Canada,Argentina,1,3,0,21,25,25,23,21,25,23,25,,,https://www.flashscore.com/match/2iRDr846/#/match-summary
2022,men,2022-07-05,USA,Germany,3,1,1,25,21,25,19,22,25,25,18,,,https://www.flashscore.com/match/O0S9qlk0/#/match-summary
2022,men,2022-06-26,Bulgaria,Brazil,0,3,0,21,25,19,25,22,25,,,,,https://www.flashscore.com/match/UwT5pUZg/#/match-summary
2022,men,2022-06-26,USA,Poland,1,3,0,25,21,23,25,24,26,22,25,,,https://www.flashscore.com/match/I3P1oAKm/#/match-summary
2022,men,2022-06-26,Italy,China,3,0,1,25,21,25,18,25,19,,,,,https://www.flashscore.com/match/tWeup94b/#/match-summary
2022,men,2022-06-26,Serbia,Australia,3,0,1,25,17,25,20,25,22,,,,,https://www.flashscore.com/match/bFCT3IzF/#/match-summary
2022,men,2022-06-26,Japan,Slovenia,3,1,1,25,21,22,25,25,18,25,19,,,https://www.flashscore.com/match/Uu8P4bL8/#/match-summary
2022,men,2022-06-26,Germany,France,1,3,0,16,25,19,25,25,19,21,25,,,https://www.flashscore.com/match/jk9L5v62/#/match-summary
2022,men,2022-06-25,USA,Bulgaria,3,1,1,25,12,20,25,26,24,25,23,,,https://www.flashscore.com/match/lpVxseT1/#/match-summary
2022,men,2022-06-25,Poland,Australia,3,0,1,25,17,25,19,25,14,,,,,https://www.flashscore.com/match/zsRYsyEe/#/match-summary
2022,men,2022-06-25,Italy,Slovenia,3,0,1,25,19,25,16,25,21,,,,,https://www.flashscore.com/match/tKRUrHbk/#/match-summary
