season,gender,match_date,home_team,away_team,home_score,away_score,outcome,set_1_home,set_1_away,set_2_home,set_2_away,set_3_home,set_3_away,set_4_home,set_4_away,set_5_home,set_5_away,match_url
2018,women,2018-06-07,South Korea,Turkey,0,3,0,19,25,21,25,23,25,,,,,https://www.flashscore.com/match/jgNZciJt/#/match-summary
2018,women,2018-06-07,Brazil,Russia,3,2,1,15,25,25,21,25,20,19.0,25.0,17.0,15.0,https://www.flashscore.com/match/8WO6fICl/#/match-summary
2018,women,2018-06-06,Poland,Germany,3,1,1,25,21,21,25,25,20,25.0,9.0,,,https://www.flashscore.com/match/KYAnek3a/#/match-summary
2018,women,2018-06-06,Netherlands,Italy,2,3,0,25,18,23,25,25,19,15.0,25.0,8.0,15.0,https://www.flashscore.com/match/QgvwuwD1/#/match-summary
2018,women,2018-06-06,Belgium,Argentina,3,0,1,25,22,25,16,25,14,,,,,https://www.flashscore.com/match/xALsdVmg/#/match-summary
2018,women,2018-06-06,Serbia,Dominican Republic,3,0,1,25,19,25,20,25,13,,,,,https://www.flashscore.com/match/rVlYuJce/#/match-summary
2018,women,2018-06-06,China,Russia,3,0,1,25,21,25,19,25,22,,,,,https://www.flashscore.com/match/UuQ2ebcr/#/match-summary
2018,women,2018-06-06,Thailand,Turkey,1,3,0,20,25,28,30,25,18,19.0,25.0,,,https://www.flashscore.com/match/ETa6FJlE/#/match-summary
2018,women,2018-06-06,Japan,South Korea,3,0,1,25,22,25,14,25,20,,,,,https://www.flashscore.com/match/COLNjzCD/#/match-summary
2018,women,2018-06-06,USA,Brazil,3,1,1,25,23,26,28,25,21,25.0,18.0,,,https://www.flashscore.com/match/C0wy0vkR/#/match-summary
2018,women,2018-06-05,Poland,Argentina,3,0,1,25,11,25,14,25,20,,,,,https://www.flashscore.com/match/OQ73i72O/#/match-summary
2018,women,2018-06-05,Netherlands,Dominican Republic,3,0,1,25,22,25,21,25,18,,,,,https://www.flashscore.com/match/URpUtark/#/match-summary
2018,women,2018-06-05,Germany,Belgium,3,1,1,25,19,25,21,22,25,25.0,23.0,,,https://www.flashscore.com/match/6kDbhmmI/#/match-summary
2018,women,2018-06-05,Italy,Serbia,3,2,1,19,25,25,21,25,21,18.0,25.0,15.0,13.0,https://www.flashscore.com/match/z5oQsuTr/#/match-summary
2018,women,2018-06-05,China,Brazil,2,3,0,25,19,23,25,25,27,25.0,10.0,14.0,16.0,https://www.flashscore.com/match/EFKX0KZK/#/match-summary
